ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: level-104-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 58

0000 0001 0002 0002 0003 0004 0002 0002 0002 0002 0002 0002 0002 0002 0005 0002 0002 0002 0002 0002 0002 0002 0002 0000 0001 0002 0002 0002 0002 0002 0002 0002
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000C 000D 000E 000F 000B 0008 0009 000A 000B 0008 0009
0006 000F 000B 0010 0011 0012 0013 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0014 0015 0001 0016 0017 000A 000B 0008 0009 000A 000B 0008
0006 0017 000A 0018 0002 0019 000F 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000C 0015 001A 001B 0006 001C 0009 000A 000B 0008 0009 000A 000B
0006 001C 0009 000A 000B 0006 001D 0012 001E 000D 0011 0012 001E 001F 0009 000A 000B 0008 0009 0018 0020 0021 0009 0006 0007 0008 0014 0022 000B 0008 0009 000A
0006 0007 0008 0009 000A 0023 0002 0002 0024 0001 0002 0002 0025 0026 0008 0009 000A 000C 001F 0009 000A 000B 0008 0006 000F 000B 0027 0017 000A 000B 0008 0009
0006 000F 000B 0008 0009 000A 000B 0008 0006 000F 000B 0008 0009 000A 000B 0008 0014 0028 0007 0008 0009 000A 000B 0006 0017 000A 0006 001C 0009 000A 000B 0008
0006 0017 000A 000B 0008 0009 000A 000B 0006 0017 000A 000B 0008 0009 000A 000C 0015 001A 001B 000B 0008 0009 000A 0006 001C 0009 0006 0029 000D 0011 0022 000B
0006 001C 0009 000A 000B 0008 0009 000A 0006 002A 0011 0012 001E 000D 0011 0015 001A 0021 0009 000A 000B 0008 0009 0006 0007 0008 002B 0001 0002 0025 002C 000A
0006 0007 0008 0009 000A 000B 0008 0009 002B 0001 0002 0002 0002 0002 0002 0020 001B 000B 0008 0009 000A 000B 0008 0006 000F 000B 0006 0017 000A 000B 0008 0009
000E 000F 000B 0008 0009 000A 000B 0008 0006 000F 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0006 0017 000A 0006 001C 0009 002D 001E 000D
