ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: level-050-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 47

0000 0001 0002 0002 0002 0002 0002 0002 0002 0002 0003 0004 0001 0002 0002 0002 0003 0002 0002 0002 0002 0003 0002 0004 0001 0002 0002 0002 0002 0002 0002 0002
0005 0006 0007 0008 0009 000A 0007 0008 0009 000A 0007 0005 000B 000A 0007 0008 000C 000D 0007 0008 000C 000D 0007 0005 000B 000A 0007 0008 0009 000A 0007 0008
0005 000B 000A 0007 0008 0009 000A 0007 0008 0009 000A 0005 000E 0009 000A 0007 000F 000B 000A 0010 0011 000B 000A 0005 000E 0012 000A 0007 0008 0009 000A 0007
0005 000E 0009 000A 0007 0008 0009 000A 0007 0008 0009 0005 0013 0008 0009 000A 0005 000E 0009 0014 0015 0016 0009 0005 0013 0008 0009 000A 0007 0008 0009 000A
0005 0013 0008 0009 000A 0007 0008 0009 000A 0007 0008 0005 0006 0007 0008 0009 0005 0013 0008 0005 0006 0007 0008 0005 0006 0007 0008 0009 000A 0007 0008 0009
0005 0006 0007 0008 0009 000A 0007 0008 0009 000A 0007 0005 000B 000A 0007 0008 0005 0006 0007 0005 000B 000A 0007 0005 000B 000A 0007 0008 000C 000D 0007 0008
0005 000B 000A 0007 0008 0009 000A 0007 0008 0009 000A 0005 000E 0009 000A 0007 0005 000B 000A 0005 000E 0009 000A 0005 000E 0009 000A 0007 0017 0018 000A 0007
0005 000E 0009 000A 0007 0008 0009 000A 0007 0008 0009 0019 001A 0008 0009 000A 0005 000E 0009 0019 001A 0008 0009 0005 0013 0008 000C 000D 0007 0008 0009 000A
0005 0013 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 0005 0013 0008 0009 000A 0007 0008 0005 0006 0007 0017 0018 000A 0007 0008 0009
0005 001B 001C 001D 001E 001F 001C 001D 001E 001F 001C 001D 0020 000A 0007 0008 0005 0006 0007 0008 0009 000A 0007 0005 000B 000A 0007 0008 0009 000A 0007 0008
0021 0001 0002 0002 0002 0002 0002 0002 0002 0002 0002 0022 000E 0009 000A 0007 0005 000B 000A 0007 0008 0009 000A 0005 000E 0009 000A 0007 0008 0009 000A 0007
