ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: level-058-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 55

0000 0001 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0003 0002 0002 0002 0002 0002 0002 0002 0002 0002 0004 0005 0002 0002 0002 0002 0002 0002 0004 0001
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0006 000C 000A 000B 0008 0009 000A 000D 000E 000F
0006 0010 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 0006 0011 0012 0013 000B 0008 0012 0014 0015 0008
0006 000C 000A 000B 0016 0017 0018 0019 001A 001B 000A 000B 0008 0009 000A 000B 0008 0009 001C 001D 0008 0009 0006 001E 0014 000F 000A 000D 0014 000F 001C 001D
0006 0011 0009 000A 001F 0001 0002 0002 0020 0021 001B 000A 000B 0008 0009 000A 000B 0016 0014 0022 000B 0008 0023 0024 0015 0008 0012 0014 0015 0008 0025 0022
0006 0007 0008 0009 0006 0007 0008 0009 000A 0026 0011 0009 000A 000B 0008 0009 001C 0014 0027 0009 000A 000B 0006 000C 000A 000B 0025 000F 000A 000B 0008 0009
0006 0010 000B 0008 0006 0010 000B 0008 0009 0006 0007 0008 0009 000A 000B 0008 0026 0010 000B 0008 0009 000A 0006 0011 0009 000A 000B 0008 0012 0013 000B 0008
0006 000C 000A 000B 0006 000C 001C 0019 001A 000E 0022 000B 0008 0009 000A 000B 0006 000C 000A 000B 0008 0009 0006 0007 0008 0009 000A 000D 0014 000F 000A 000B
0028 0011 0009 000A 0006 0011 0029 0004 0024 0027 0009 000A 000B 0008 0009 001C 000E 0027 0009 000A 000B 0008 0006 0010 000B 0008 0012 0014 0015 0008 0009 001C
002A 0007 0008 0009 0006 0007 0008 002B 002C 001D 0008 0009 000A 000B 0016 0014 0022 000B 0008 0009 000A 000B 0006 000C 000A 000B 0026 000C 000A 000B 0016 002D
0006 0010 000B 0008 0006 0010 000B 0008 0025 002C 001D 0008 0009 001C 0014 0027 0009 000A 000B 0008 0009 000A 0006 0011 0009 000A 0006 0011 0009 001C 0014 0027
0006 000C 000A 000B 002B 000F 000A 000B 0008 0025 0022 000B 0008 0026 0010 000B 0008 0009 000A 000B 0008 0009 0006 0007 0008 0009 0006 0007 0008 0025 0022 000B
0006 0011 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000D 000E 000F 000A 000B 0008 0009 000A 000B 0008 0006 0010 000B 0008 0006 0010 000B 0008 0012 0013
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008 0012 0014 0015 0008 0012 0018 0019 001A 0017 0013 000B 0006 000C 000A 000B 0006 000C 000A 000B 0025 000F
0006 002E 0019 001A 0017 0018 0019 001A 0017 0018 0019 0014 000F 000A 000B 0029 0002 0004 0001 0020 000F 000A 0006 0011 0009 000A 002B 0021 001B 000A 000B 0008
0023 0001 0002 0002 0002 0002 0002 0002 0002 0002 0020 0015 0008 0009 000A 000B 0008 0006 0010 000B 0008 0009 0006 0007 0008 0009 000A 0025 0021 001B 000A 000B
0006 0011 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0006 000C 000A 000B 0008 0006 0010 000B 0008 0009 000A 0026 0011 0009 000A
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 0006 0011 0009 000A 000B 0006 000C 000A 000B 0008 0012 000E 0015 0008 0009
0006 0010 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 001C 001D 0008 0009 0006 0007 0008 0009 001C 000E 0027 0009 000A 000B 0026 000C 000A 000B 0008
0006 000C 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0025 002C 0019 001A 000E 0022 000B 0016 0014 0022 000B 0008 0009 000A 0006 0011 0009 000A 000B
0006 0011 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0029 0002 0020 0027 0009 000A 0026 0011 0009 000A 000B 0008 0009 0006 0007 0008 0009 000A
0006 0007 0008 0009 000A 000D 001A 0017 0018 0019 002F 0009 000A 000B 0008 0009 000A 000B 0008 0012 000E 0015 0008 0012 0018 0019 001A 0028 0010 000B 0008 0009
0006 0010 000B 0008 0012 002D 0002 0002 0002 0020 0030 002F 0009 000A 000B 0008 0009 000A 000D 0014 000F 000A 000B 001F 0001 0002 0002 0031 000F 000A 000B 0008
0006 000C 000A 000B 0026 000C 000A 000B 0008 0009 0025 0030 002F 0009 000A 000B 0008 0012 0014 0015 0008 0009 000A 0006 0011 0009 000A 000B 0008 0009 000A 000B
0006 0011 0009 000A 0006 0011 0009 000A 000B 0008 0009 0025 0030 002F 0009 000A 000D 0014 000F 000A 000B 0008 0009 0006 0032 0008 0009 000A 000B 0008 0009 000A
0006 0007 0008 0009 0006 0007 0008 0012 0013 000B 0008 0009 0025 0030 002F 0012 0014 0015 0008 0009 000A 000B 0008 0006 002E 0019 001A 001B 000A 000B 0008 0009
0006 0010 000B 0008 0006 0010 000B 0025 0033 0013 000B 0008 0009 0025 0030 0014 000F 000A 000B 0008 0009 000A 000B 0023 0001 0002 0020 0027 0009 000A 000B 0008
0006 000C 000A 000B 002B 000F 000A 000B 0025 0033 0013 000B 0008 0009 0025 0015 0008 0009 000A 000B 0008 0009 000A 0006 0011 0009 000A 000B 0008 0009 000A 000B
0006 0011 0009 000A 000B 0008 0009 000A 000B 0025 0033 0013 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 0006 0007 0008 0009 000A 000B 0008 0009 000A
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0025 0033 0013 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0006 0010 000B 0008 0009 000A 000B 0008 0009
0006 0010 000B 0008 0009 000A 000B 0008 0009 000A 000B 0025 0033 0013 000B 0008 0009 000A 000B 0008 0009 000A 000B 0006 000C 000A 000B 0008 0009 000A 000B 0008
0028 0034 0018 0019 001A 0017 0018 0019 001A 0017 0018 0019 0035 0034 0018 0019 001A 0017 0018 0019 001A 0017 0018 0028 0036 0017 0018 0019 001A 0017 0018 0019
