ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-067.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 448
UNIQUE_PIXEL_TILES: 87
CONNECTED_OBJECT_GROUPS: 30

0020 0000 0000 0000 0000 0021 0022 0023 0024 0000 0000 0000 0000 0000 0000 0000 0025 0026 0027 0028 0029 0000 0000 0000 0000 0000 0000 002A 002B 002C 002D 002E
0040 0000 0000 0000 0000 0041 0042 0043 0044 0000 0000 0000 0000 0000 0000 0000 0045 0046 0047 0048 0049 0000 0000 0000 0000 0000 0000 004A 004B 004C 004D 004E
0060 0000 002F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 006D 006E
0080 0000 0000 0000 0000 0000 0000 0000 0000 0030 0031 0032 0000 0000 0000 0000 0000 0000 0000 0000 0000 0033 0034 0035 0000 0000 0000 0000 0000 0000 008D 008E
0000 0000 0000 0000 0000 0000 0000 0000 0000 0050 0051 0052 0000 0000 0000 0000 0000 0000 0000 0000 0000 0053 0054 0055 0000 0000 0000 0000 0000 0000 0000 0000
0036 0037 0038 0000 0000 0000 0000 0000 0000 0070 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0056 0057 0058 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0039 003A 003B 0000 0000 0000 0000 0000
0076 0077 0078 0000 003C 0000 0000 0000 0000 0000 0000 0000 003D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0059 005A 005B 0000 0000 0000 0000 0000
0000 0000 0000 0000 005C 0000 0000 0000 0000 0000 0000 0000 005D 0000 0000 0000 0000 00A0 00A1 00A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00C0 00C1 00C2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 00A3 0000 0000 0000 0000 0000 0000 0000 00A4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A5 00A6 00A7 0000 0000 0000 0000 00C3 0000 0000 0000 0000 0000 0000 0000 00C4 0000 0000 0000 0000 0000 0000 0000 00AB 00AC 00AD 0000 0000 0000 0000 0000 0000
00C5 00C6 00C7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CB 00CC 00CD 0000 0000 0000 0000 0000 0000
