ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: treasure-room-06-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 49

0000 0001 0002 0003 0004 0001 0000 0001 0004 0001 0000 0001 0004 0001 0002 0003 0004 0001 0002 0003 0004 0001 0002 0003 0000 0001 0000 0001 0000 0001 0003 0003
0005 0006 0007 0008 0005 0006 0009 000A 0005 0006 0009 000A 0005 0006 000B 0008 0005 000C 0007 0008 0005 0006 000B 0008 0005 0006 0009 000A 0005 000C 0007 0008
0005 000D 000E 000F 0005 000D 0010 0011 0005 000D 0010 000B 0012 0001 0013 000F 0005 0006 000E 000F 0014 0001 0013 000F 0005 000D 0015 0016 0005 000D 000E 000F
0005 0017 0005 000C 0005 0017 000E 000C 0005 0017 0018 0001 0019 000A 0005 000C 0009 000A 0005 000C 0009 000A 0005 000C 0005 0017 001A 001B 0005 0017 0005 000C
0009 001C 0005 000D 0009 001C 0005 000D 0009 001C 0005 000D 0010 0011 0005 000D 0010 000B 001D 000D 0010 0011 0005 000D 0005 000F 000E 000D 0005 0006 001D 000D
001A 001E 001D 0017 001A 001B 0005 001F 0020 001B 0005 0017 000E 000C 0009 000A 0018 0001 0019 000A 000E 000C 0005 0017 0009 0021 0005 0017 0022 0003 0023 0017
0018 0001 0019 001C 000E 000D 0022 0003 0013 000D 0009 001C 0005 000D 0015 0016 0005 000D 0015 0016 0005 000D 0005 000F 0024 0025 0005 000F 0026 0027 0005 000F
0005 0017 0025 0015 0005 0017 0025 0015 0005 0017 001A 001B 0005 0017 001A 001B 0005 0017 001A 001B 0005 0017 0009 0021 0007 0008 0005 000C 000E 0017 0009 0021
0005 000F 0026 0027 0005 000F 0026 0027 0005 000F 000E 000D 0005 000F 000E 000D 0009 001C 000E 000D 0005 000F 0026 0027 000E 000F 0009 0028 0005 000F 0026 0027
0009 0021 000E 0017 0005 000C 000E 0017 0009 0021 0005 0017 0009 0021 0005 0017 001A 001E 001D 0017 0009 0021 000E 0017 0005 000C 0007 0008 0005 0029 002A 0017
0024 0025 0005 000F 0009 0028 0005 002B 0008 0025 0005 000F 0026 0027 0005 000F 0018 0001 0023 000F 0026 0027 0005 000F 0005 000D 000E 000F 0014 0001 0023 000F
0007 0008 0005 000C 0007 0008 0014 002C 002D 0008 0005 0029 002A 0017 0005 000C 0005 0017 0005 000C 000E 001F 001D 000C 0009 000A 0005 000C 0009 000A 0005 000C
000E 000F 0005 0006 002A 000F 0005 000D 000E 000F 0014 0001 0023 000F 0009 0028 0005 000F 0009 0028 0014 0001 0023 000D 0010 0011 0005 000D 0010 0011 0005 000D
0005 000C 0022 0003 0023 000C 0009 000A 0005 000C 0009 000A 0005 000C 0016 0024 0005 000C 0016 0024 0005 000C 0009 000A 000E 000C 0009 000A 000E 000C 0009 000A
0005 000D 0010 0011 0005 000D 0015 0016 0005 000D 0010 0011 0005 000D 0010 0011 0009 0028 0010 0011 0005 000D 0015 0016 0005 002E 001E 0011 0005 000D 0010 0011
0005 0017 000E 000C 0005 0017 001A 001B 0005 0017 000E 000C 0005 0017 000E 000C 0016 0024 000E 000C 0005 0017 001A 001B 0014 0001 0013 000C 0009 000A 000E 000C
001D 000F 0005 000D 0009 001C 000E 000D 0009 001C 0005 000D 0009 001C 0005 000D 0015 0016 0005 000D 0009 001C 000E 000D 0009 001C 0005 000D 0010 0011 0005 0006
0023 000C 0005 0017 0025 0015 0005 0017 0025 0010 001D 0017 001A 001B 0005 0017 0025 0015 0005 0017 0025 0015 0005 0017 001A 001B 0005 0017 000E 000C 0022 0003
0005 000D 0005 002B 002F 0027 0005 000F 0026 0030 0023 000F 000E 000D 0009 001C 0026 0027 0005 000F 0026 0027 0005 000F 000E 000D 0009 001C 0005 000D 0015 0016
0009 000A 0014 0001 0013 0017 0005 000C 000E 0017 0005 000C 0005 0017 0025 0015 000E 0017 0005 0029 002A 0017 0009 0021 0005 0017 001A 001E 001D 0017 001A 001B
0010 0011 0009 0006 0005 000F 0009 0028 0005 000F 0009 0028 0005 000F 0026 0027 0005 000F 0014 0001 0023 000F 0026 0027 0005 000F 0018 0001 0023 000F 000E 000D
002A 000C 0016 0024 0005 000C 0007 002F 001D 000C 0007 0008 0005 000C 000E 0017 0005 000C 0009 000A 0005 000C 000E 001F 001D 000C 0005 0017 0009 0021 0005 001F
0023 000D 0010 0011 0005 000D 0018 0001 0023 000D 000E 000F 0009 0028 0005 000F 0005 000D 0010 0011 0005 000D 0014 0001 0019 0028 0005 000F 0026 0020 0012 0001
0005 0017 000E 000C 0009 000A 0005 000C 0009 000A 0005 000C 0016 0024 0005 000C 0009 000A 000E 000C 0005 0017 0005 000C 0007 0008 0005 000C 0018 0001 0019 0021
0009 001C 0005 000D 0015 0016 0005 000D 0015 0016 0005 000D 0010 0011 0005 000D 0015 0016 0005 000D 0009 001C 0005 000D 000E 000F 0009 0028 0005 000F 0024 0025
0025 0015 0005 0017 001A 001B 0005 0017 001A 001B 0005 0017 000E 000C 0005 0017 001A 001B 0005 0017 001A 001B 0009 000A 0005 000C 0007 0008 0005 000C 0007 0008
0026 0027 0005 000F 000E 000D 0005 000F 000E 002E 001D 000F 0005 000D 0009 001C 000E 002E 001D 000F 000E 002E 001E 0011 0005 002E 002A 000F 0005 000D 000E 000F
000E 0017 0009 0021 0005 0017 0009 0021 0014 0001 0019 0021 0005 0017 0025 0015 0014 0001 0019 0021 0014 0001 0013 000C 0022 0003 0023 000C 0009 000A 0005 000C
001D 000F 0026 0027 0005 000F 0026 0027 0005 000F 0026 0027 0005 002B 002F 0027 0005 000F 0024 0025 0005 000F 0005 000D 0010 0011 0005 000D 0010 0011 0005 0006
0019 0021 000E 0017 0005 000C 000E 0017 0005 000C 000E 0017 0022 0003 0013 0017 0005 000C 0007 0008 0005 000C 0005 0017 000E 000C 0009 000A 000E 000C 0014 0001
0026 0027 0005 000F 0009 0028 0005 000F 0009 0028 0005 000F 0024 0025 0005 000F 0009 0028 000E 000F 0009 0028 0005 000F 0005 000D 0010 0011 0005 000D 0009 001C
002A 0006 001D 0029 000B 0006 001D 0029 000B 0006 001D 0029 000B 0006 001D 0029 000B 0006 001D 0029 000B 002F 001D 0006 001D 001F 002A 0006 001D 001F 0020 001E
