ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-092.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1248
UNIQUE_PIXEL_TILES: 202
CONNECTED_OBJECT_GROUPS: 17

0020 0021 0022 0023 0000 0025 0000 0000 0028 0029 002A 0000 0000 002D 002E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0038 0000 003A 003B 0000 003D 003E 003F
0040 0041 0042 0043 0000 0045 0046 0047 0048 0049 004A 004B 0000 004D 004E 0000 0000 0000 0000 0000 0000 0055 0056 0057 0058 0059 005A 005B 005C 005D 005E 005F
0060 0000 0000 0000 0000 0000 0066 0067 0068 0069 006A 006B 0000 0000 006E 006F 0070 0000 0000 0000 0000 0075 0076 0077 0078 0000 007A 007B 007C 007D 007E 007F
0080 0081 0082 0000 0000 0000 0000 0087 0088 0089 008A 008B 0000 0000 0000 0000 0090 0000 0000 0000 0000 0000 0000 0000 0098 0000 009A 009B 009C 009D 009E 009F
00A0 00A1 00A2 0000 0000 00A5 00A6 00A7 00A8 00A9 00AA 00AB 0000 0000 0000 0000 00B0 00B1 00B2 00B3 00B4 00B5 00B6 00B7 00B8 0000 00BA 00BB 00BC 00BD 00BE 00BF
00C0 00C1 00C2 00C3 00C4 00C5 00C6 00C7 00C8 00C9 00CA 00CB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D8 00D9 0000 0000 0000 0000 00DE 00DF
00E0 00E1 00E2 00E3 0000 00E5 00E6 00E7 00E8 00E9 00EA 00EB 0000 0000 0000 00EF 00F0 00F1 00F2 00F3 00F4 00F5 00F6 00F7 00F8 0000 0000 0000 0000 0000 00FE 00FF
0100 0101 0102 0000 0104 0105 0106 0107 0108 0109 010A 0000 010C 0000 0000 010F 0000 0000 0000 0000 0000 0115 0116 0117 0118 0119 0000 0000 0000 0000 011E 011F
0120 0121 0122 0000 0124 0125 0126 0127 0128 0129 012A 012B 012C 0000 0000 012F 0000 0000 0000 0000 0000 0135 0136 0137 0138 0000 0000 0000 0000 0000 013E 013F
0000 0000 0000 0000 0000 0000 0000 0147 0148 0149 014A 014B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0161 0162 0000 0164 0165 0000 0167 0168 0000 016A 0000 0000 0000 0000 0000 01A0 0000 0000 0000 0000 0000 0000 01A1 0000 0000 0000 0000 0000 0000 0000 0000
0180 0181 0182 0183 0184 0185 0186 0187 0188 0000 0000 0000 0000 0000 0000 0000 01C0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A2 01A3 01A4 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A5 01A6 01A7 01A8 01A9 0000 0000 0000 0000 0000 0000 0000 01C2 01C3 01C4 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01AA 0000 0000 01C5 0000 0000 0000 01C9 0000 0000 01AB 0000 0000 0000 0000 01E2 01E3 01E4 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01CA 0000 0000 01E5 0000 01E7 0000 01E9 0000 0000 01CB 0000 0000 0000 0000 0202 0203 0204 0000 0000 0000
01AC 01AD 01AE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0205 0000 0000 0208 0209 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01CC 01CD 01CE 0000 0000 0000 0000 0000 0000 01BA 0000 0000 0000 0000 0225 0226 0227 0228 0229 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 01ED 01EE 0000 0000 0000 0000 0000 0000 01DA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0386 0000 0000 0000 0000 0000 0000 0000
020C 020D 020E 0000 0000 0000 0000 0000 0000 01FA 0000 0000 0000 0000 0000 0000 038E 0000 0000 0000 0000 0000 0000 0000 03A6 0000 0000 0000 0000 0000 0000 0000
0000 022D 022E 0000 0000 0000 0000 0000 0000 021A 0000 0000 0000 0000 0000 0000 03AE 0000 0000 0000 0000 0000 038F 0000 03C6 03C7 0000 0000 0000 0390 0391 0392
024C 024D 024E 0000 0000 0000 0000 0000 0000 023A 023B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E6 03E7 03E8 0000 0000 03B0 03B1 03B2
0000 026D 026E 0000 0000 0000 0000 0000 0000 025A 025B 025C 025D 025E 025F 0000 0000 0000 0000 0000 0000 0000 0404 0405 0406 0407 0408 0000 0000 0000 0000 0000
028C 028D 028E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0421 0422 0000 0424 0425 0426 0427 0428 0000 0000 0000 0000 0000
0000 02AD 02AE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0440 0441 0442 0443 0444 0445 0446 0447 0448 0449 0000 0000 0000 0000
02CC 02CD 02CE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0463 0464 0465 0466 0467 0468 0469 046A 0000 0000 0000
02EC 02ED 02EE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0481 0482 0000 0000 0000 0000 0487 0488 0489 048A 0000 048C 048D
030C 030D 030E 0000 0310 0311 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04A0 04A1 04A2 0000 04A4 04A5 04A6 0000 0000 0000 0000 04AB 04AC 04AD
