ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-065.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 640
UNIQUE_PIXEL_TILES: 127
CONNECTED_OBJECT_GROUPS: 28

0020 0000 0000 0000 0000 0000 0000 0000 0000 0028 0029 002A 0000 0000 0000 0000 0000 0000 002B 002C 002D 0000 0000 002E 002F 0030 0031 0000 0000 0000 0032 0033
0040 0041 0042 0000 0000 0000 0000 0000 0000 0048 0049 004A 0000 0000 0000 0000 0000 0000 004B 004C 004D 0000 0000 004E 004F 0050 0051 0000 0000 0000 0052 0053
0060 0061 0062 0000 0000 0000 0065 0066 0067 0000 0000 0000 0000 0000 0000 0000 0000 0000 006B 006C 006D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0082 0083 0000 0000 0085 0086 0087 0000 0000 0000 0000 0034 0035 0036 0000 0000 008B 008C 008D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 00A2 00A3 00A4 0000 0000 0000 0000 0000 0000 0000 0000 0054 0055 0056 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0037 0038 0039 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0057 0058 0059 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00C0 00C1 00C2 0000 0000 00C5 00C6 00C7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00E0 00E1 00E2 0000 0000 00E5 00E6 00E7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00C9 00CA
0100 0000 0000 0000 0000 0105 0106 0107 0000 0000 0000 0000 0000 0000 0000 00CD 00CE 00CF 00D0 00D1 00D2 0000 0000 0000 0000 0000 0000 0000 0000 00E8 00E9 00EA
0000 0121 0122 0123 0124 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00ED 00EE 00EF 00F0 00F1 00F2 0000 0000 0000 0000 0000 0000 0000 0000 0108 0109 010A
