ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: level-066-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 55

0000 0001 0002 0002 0002 0002 0002 0002 0002 0003 0002 0002 0002 0002 0002 0002 0004 0001 0002 0002 0002 0003 0004 0001 0002 0002 0002 0002 0002 0002 0002 0002
0005 0006 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0005 0006 0007 0008 0009 000A 0005 000B 0009 000A 0007 0008 0009 000A 0007 000C
0005 000D 000A 0007 0008 0009 000A 0007 0008 0009 000A 000E 000F 0009 000A 0007 0005 000D 000A 0007 0008 0009 0005 0010 0008 0009 000A 0007 0008 0009 000A 0007
0005 000B 0009 000A 0007 0008 0009 000A 0007 0008 0009 0011 0010 0008 0009 000A 0005 000B 0009 000A 0007 0008 0012 0013 0007 0008 0009 000A 0007 0008 0009 000A
0005 0010 0008 0009 000A 0007 0008 0009 000A 0007 0008 0005 0006 0007 0008 0009 0005 0010 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009
0005 0006 0007 0008 0009 000A 0007 0008 0009 000A 0007 0005 000D 000A 0007 0008 0005 0006 0007 0008 0009 000A 000E 000F 0009 000A 0007 0008 0009 000A 0007 0008
0005 000D 000A 0007 0008 0009 000A 0007 0008 0009 000A 0005 000B 0009 000A 0007 0005 000D 000A 0007 0008 0009 0011 0010 0008 0009 000A 0007 0008 0009 000A 0007
0005 000B 0009 000A 0007 0008 0009 000A 0007 0008 0009 0005 0010 0008 0009 000A 0005 000B 0009 000A 0007 0008 0005 0006 0007 0008 0009 000A 0007 0008 0009 000A
0005 0010 0008 0009 000A 0007 0008 0009 000A 0007 0008 0005 0006 0007 0008 0009 0005 0010 0008 0009 000A 0007 0005 000D 000A 0007 0008 0009 000A 0007 0008 0009
0005 0006 0007 0008 0009 000A 0007 0008 0009 000A 0007 0005 000D 000A 0007 0008 0005 0006 0007 0008 0009 000A 0005 000B 0009 000A 0007 0008 0009 000A 0007 0008
0005 000D 000A 0007 0008 0009 000A 0007 0008 0009 000A 0005 000B 0009 000A 0007 0005 000D 000A 0007 0008 0009 0005 0010 0008 0009 000A 0007 0008 0009 000A 0007
0005 000B 0009 000A 0007 0008 0009 000A 0007 0008 0009 0005 0010 0008 0009 000A 0012 0014 0009 000A 0007 0008 0005 0006 0007 0008 0009 000A 0007 0008 0009 000A
0005 0010 0015 0016 0017 0018 0019 001A 001B 0018 0019 001C 001D 0018 0019 001A 001B 0018 0019 001A 001B 0018 001C 001E 001B 001F 0008 0009 000A 0007 0008 0009
0005 0006 0020 0014 0021 0001 0002 0002 0002 0002 0002 0003 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0003 0002 0022 0006 0007 0008 0009 000A 0007 0008
0005 000D 000A 0007 0005 0023 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0005 000D 000A 0007 0008 0009 000A 0007
0005 000B 0009 000A 0005 000B 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0005 000B 0009 000A 0007 0008 0009 000A
0005 0010 0008 0009 0005 0010 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 0005 0010 0008 0009 000A 0007 0008 0009
0005 0006 0007 0008 0005 0006 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0009 000A 0007 0008 0005 0006 0007 0008 0009 000A 0007 0008
0005 000D 0017 001F 0005 001E 001B 0018 0019 001A 0024 0007 0008 0009 000A 0007 0015 001A 001B 0018 0019 001A 0024 0007 0012 0025 001B 0018 0019 001A 001B 001F
