ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: treasure-room-03-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 52

0000 0001 0002 0001 0002 0001 0003 0004 0004 0004 0000 0001 0004 0004 0004 0002 0001 0004 0004 0002 0001 0004 0004 0004 0004 0003 0004 0004 0004 0002 0005 0004
0006 0007 0006 0008 0006 0009 000A 000B 000C 000D 0006 0008 000C 000D 000A 000E 000F 000D 000A 0006 0010 0011 0012 0013 000C 0014 0012 0015 0016 0017 0018 0007
0006 0019 0006 0018 000E 000F 000D 001A 0013 000C 0006 0018 000B 001B 0011 0012 0015 001C 000D 001D 0004 0004 001E 001F 000B 0020 0004 0004 0004 0021 0009 000A
0006 0008 0006 0009 000A 000B 000C 0022 0018 000B 0006 0009 000A 0020 0004 0004 001E 0023 000C 000D 000A 000B 000C 000D 000A 000B 000C 000D 000A 0006 0019 000D
0006 0018 0006 0019 0014 0024 000B 0006 0009 000A 000E 000F 000D 000A 000B 000C 000D 000A 000B 000C 000D 000A 0025 0016 0011 0012 0013 000C 0014 0017 0008 000C
0006 0009 0006 0008 0022 0009 000A 0006 0019 000D 000A 000B 000C 0014 0012 0015 0016 0011 0012 0015 001C 000D 0020 0004 0004 001E 001F 000B 0026 0027 001F 000B
0006 0019 000E 001F 0006 0019 000D 0006 0008 000C 0014 0024 000B 0020 0004 0004 0004 0004 0004 001E 0023 000C 000D 000A 000B 000C 000D 000A 0006 0019 000D 000A
0006 0008 000C 000D 000E 0023 000C 0006 0018 000B 0022 0009 000A 000B 000C 000D 000A 000B 000C 000D 000A 000B 001B 0028 000A 0025 001C 000D 000E 0023 000C 000D
0006 0018 000B 000C 000D 000A 000B 0006 0009 000A 0006 0019 000D 001A 0013 000C 0014 0012 0015 0016 0028 000A 0022 0019 000D 0022 0008 000C 000D 000A 000B 000C
0017 0029 0012 0015 0016 0028 000A 0006 0019 000D 0006 0008 000C 0022 0018 000B 0026 0001 0004 002A 0019 000D 0006 0008 000C 0006 0018 000B 001B 0011 0012 0015
0000 0001 0004 0004 002A 0019 000D 0006 0008 000C 0006 0018 000B 0006 0009 000A 0006 0019 000D 0006 0008 000C 0006 0018 000B 0006 0009 000A 0026 0001 0004 0004
0006 0008 000C 000D 000E 0023 000C 000E 001F 000B 0006 0009 000A 0006 0019 000D 0006 0008 000C 0006 0018 000B 0006 0009 000A 0006 0010 0011 0017 0008 000C 000D
0006 0018 000B 000C 000D 000A 000B 000C 000D 000A 0006 0019 000D 0006 0008 000C 0006 0018 000B 0006 0009 000A 0006 0019 000D 002B 0001 0004 0021 0018 000B 000C
0006 0009 000A 0025 0016 0011 0012 0015 001C 000D 000E 0023 000C 0006 0018 000B 0006 0009 000A 000E 000F 000D 0006 0008 000C 0006 0018 000B 0006 0009 000A 000B
0006 0019 000D 0020 0004 0004 0004 001E 0023 000C 000D 000A 000B 0006 0009 000A 0006 0019 000D 000A 000B 000C 0006 0018 000B 0006 0009 000A 0006 0019 000D 000A
0006 0008 000C 000D 001A 0015 001C 000D 001A 0015 001C 000D 001A 0017 0010 0007 0017 0007 0016 0011 0012 0015 0017 0009 000A 000E 000F 000D 000E 0023 000C 000D
0006 002C 0015 001C 0020 001E 0023 000C 0020 001E 0023 000C 0020 0003 0004 0004 0000 0001 0004 0004 0004 0004 002D 000F 000D 000A 000B 000C 000D 000A 000B 000C
002E 0001 002A 0008 000C 000D 000A 000B 000C 000D 000A 000B 000C 000D 000A 0007 0006 0007 000A 000B 000C 000D 000A 000B 000C 000D 000A 000B 001B 0011 0012 0015
0021 0019 0006 002C 0015 0016 0028 000A 000B 001B 0011 0012 0015 0016 0028 000A 0006 0019 000D 001A 0015 0016 0011 0012 0015 001C 000D 000A 0026 0001 0004 0004
0006 0008 001D 0004 0004 001E 000F 000D 000A 0020 0004 0004 0004 002A 0019 000D 0006 0008 000C 0026 0001 0004 0002 0001 001E 0023 000C 0014 002F 0023 000C 000D
0017 0018 000B 000C 000D 000A 000B 000C 000D 000A 000B 000C 000D 0006 0008 000C 0006 0018 000B 0006 0009 000A 0006 0019 000D 000A 000B 0030 0031 000A 000B 001B
0021 0009 001A 0015 0016 0028 000A 0025 001C 000D 001A 0013 000C 0006 0018 000B 0006 0009 000A 0006 0019 000D 0006 0008 000C 0014 0024 000B 000C 0014 0024 0020
0006 0019 0020 0004 001E 000F 000D 0022 0008 000C 0022 0018 000B 000E 0031 000A 000E 000F 000D 000E 0023 000C 0006 0018 000B 0022 0009 000A 000B 0022 0009 000A
0006 0008 000C 000D 000A 000B 000C 0006 0018 000B 0006 0009 000A 000B 000C 000D 000A 000B 000C 000D 000A 000B 0006 0009 000A 0006 0019 000D 000A 0006 0019 000D
0006 0018 0025 001C 000D 000A 000B 0006 0009 000A 0006 0019 000D 001A 0013 000C 0014 0012 0015 0016 0028 000A 000E 000F 000D 0006 0008 000C 000D 000E 0023 000C
0017 0009 0022 0008 001B 0028 000A 0006 0019 000D 000E 0023 000C 0022 0018 000B 0020 0004 0004 001E 000F 000D 000A 000B 000C 0006 0018 000B 000C 000D 000A 0025
0021 0019 0006 0018 0022 0019 000D 0006 0008 000C 000D 000A 000B 0006 0009 000A 000B 000C 000D 000A 000B 000C 000D 000A 000B 000E 0031 000A 0025 001C 000D 0020
0006 0008 0006 0009 0006 0032 001C 000E 001F 000B 001B 0028 000A 0006 0019 0014 0012 0013 000C 0014 0012 0015 0016 0028 000A 000B 000C 000D 0022 0008 000C 000D
0006 0018 0006 0019 001D 001E 0023 000C 000D 000A 0022 0019 000D 0006 0008 0020 001E 001F 000B 0026 0001 0004 001E 000F 000D 001A 0015 0016 0017 0018 0025 001C
0006 0009 0006 0032 0016 0011 0012 0015 001C 000D 0006 0008 000C 000E 001F 000B 001B 0011 0012 0017 0010 0011 0024 000B 000C 0026 0001 0004 002D 0031 0022 0008
0006 0019 001D 0004 0004 0004 0002 0033 0023 000C 0006 0018 000B 000C 000D 000A 0020 0004 0004 0003 0004 001E 0031 000A 000B 0006 0009 000A 000B 000C 0006 0018
0017 0007 0016 0011 0012 0015 0017 0029 0012 0015 0017 0029 0012 0015 0016 0011 0012 0015 0016 0011 0012 0015 0016 0011 0012 0017 0010 0011 0012 0015 0017 0007
