ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: treasure-room-08-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 36

0000 0001 0001 0002 0003 0001 0001 0000 0001 0001 0001 0002 0003 0000 0001 0001 0001 0002 0004 0001 0001 0001 0001 0001 0002 0004 0001 0001 0001 0001 0002 0003
0005 0006 0007 0008 0009 0006 000A 000B 0005 000C 000D 0008 0009 0006 000A 000B 000E 0008 000F 000B 0005 0006 000D 0010 0008 0011 000A 000B 0005 000D 0008 0012
000B 000E 0013 000F 000B 0005 0006 000A 0010 0014 0015 000F 000B 0005 0006 0007 0013 0009 0006 000A 000B 000E 0016 0013 0012 0005 0006 0007 0017 0013 0011 000A
0007 0013 0009 0006 000A 000B 000E 0016 0013 0012 0005 0006 000A 000B 000E 0013 000F 000B 0005 0006 0007 0014 0015 0011 000A 000B 000E 0014 0015 0012 0005 0006
0013 000F 000B 0005 0006 0007 0014 0015 0011 000A 000B 0005 000C 0018 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005 000C 0018 0013 0009 0006 000A 0010 0019
0009 0006 000A 0010 0019 0013 000F 000B 0005 0006 000A 0010 0014 0015 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010 0014 0015 000F 000B 0005 000C 0014 0015
000B 0005 000C 0014 0015 0009 0006 000A 000B 000E 0016 0013 0012 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013 0012 0005 0006 0007 0017 0013 0011 000A
0007 0017 0013 0011 000A 000B 0005 0006 0007 0014 0015 0011 000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011 000A 000B 000E 0014 0015 0012 0005 0006
0014 0015 0012 0005 0006 000A 0010 0019 0013 000F 000B 0005 000C 0018 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005 000C 0018 0013 0009 0006 000A 000B 000E
0009 0006 000A 000B 0005 000C 0014 0015 0009 0006 000A 0010 0014 0015 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010 0014 0015 000F 000B 0005 000C 0018 0013
000B 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013 0012 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013 0012 0005 0006 000A 0010 0014 0015 000F
000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011 000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011 000A 000B 000E 0016 0013 0012 0005 0006
000C 0018 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005 000C 0018 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005 0006 0007 0014 0015 0011 000A 000B 0005
001A 0015 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010 0014 0015 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010 0019 0013 000F 000B 0005 0006 000A 000B
000B 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013 0012 0005 0006 0007 0017 0013 0011 000A 000B 0005 000C 0014 0015 0009 0006 000A 000B 000E 0016 001B
000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011 000A 000B 0005 001A 0015 0012 0005 0006 0007 0017 0013 0011 000A 000B 0005 0006 0007 0014 0015 0011
000C 0018 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005 000C 0018 001C 0005 0006 000A 000B 000E 0014 0015 0012 0005 0006 000A 0010 0019 0013 000F 000B 0005
0014 0015 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010 0014 0015 000F 000B 0005 000C 0018 0013 0009 0006 000A 000B 0005 000C 0014 0015 0009 0006 000A 0010
0012 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013 0012 0005 0006 000A 0010 0014 0015 000F 000B 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013
000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011 000A 000B 000E 0016 0013 0012 0005 0006 000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011
000C 0018 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005 0006 0007 0014 0015 0011 000A 000B 0005 000C 0018 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005
0014 0015 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010 0019 0013 000F 000B 0005 0006 000A 0010 0014 0015 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010
0012 0005 0006 0007 0017 0013 0011 000A 000B 0005 000C 0014 0015 0009 0006 000A 000B 000E 0016 0013 0012 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013
000A 000B 000E 0014 0015 0012 0005 0006 0007 0017 0013 0011 000A 000B 0005 0006 0007 0014 0015 0011 000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011
000C 0018 0013 0009 0006 000A 000B 000E 0014 0015 0012 0005 0006 000A 0010 0019 0013 000F 000B 0005 000C 0018 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005
0014 0015 000F 000B 0005 000C 0018 0013 0009 0006 000A 000B 0005 000C 0014 0015 0009 0006 000A 0010 0014 0015 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010
0012 0005 0006 000A 0010 0014 0015 000F 000B 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013 0012 0005 0006 0007 0017 0013 0011 000A 000B 000E 0016 0013
000A 000B 000E 0016 0013 0012 0005 0006 000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011 000A 000B 000E 0014 0015 0012 0005 0006 0007 0014 0015 0011
0006 0007 0014 0015 0011 000A 000B 0005 0006 0007 0013 0009 0006 000A 0010 0019 0013 000F 000B 0005 000C 0018 0013 0009 0006 000A 000B 000E 0013 000F 000B 0005
000E 0013 000F 000B 0005 0006 000A 000B 000E 0013 000F 000B 0005 000C 0014 0015 0009 0006 000A 0010 0014 0015 000F 000B 0005 0006 0007 0013 0009 0006 000A 000B
001D 001E 0006 000A 000B 0005 0006 0007 0013 0009 0006 000A 000B 001D 001F 000A 000B 0005 000C 0013 0012 0005 0006 000A 000B 000E 0013 000F 000B 0005 0006 000A
0020 000D 0019 0016 0018 0017 0019 0021 0022 0017 0019 0016 0018 0020 000D 0016 0018 0017 0021 000D 0018 0017 0019 0016 0018 0021 0023 0016 0018 0017 0019 0016
